Biomass,Section,Level,Morfi.Rep,fibre_n,fibre_cont,fibre_L,fibre_L.L,fibre_L3.L,fibre_A.L,fibre_W,fibre_course,fibre_kink.num,fibre_kink.ang,fibre_kink.cont,fibre_curl,MF.index,fibre_broken,fine_n,fine_cont,fine_cont.A,fine_cont.L,fine_cont.L.L,fine_A,fine_L
Banana,Leaf,L,4,41046,15.64,241,383,582,379,27.7,0.24,1.06,115.59,2.03,7.66,2.06,55.31,691101,252.85,39.49,74.7,63.68,929,40
Banana,Leaf,L,3,42488,16.14,239,374,565,371,27.8,0.24,1.07,114.46,2.11,7.83,2.07,56.2,680858,248.17,38.01,74.21,63.17,947,40
Banana,Leaf,L,2,44405,14.9,241,381,582,378,28,0.25,1.07,116.48,2.17,7.86,2.2,55.83,698123,224.92,38.68,73.84,62.35,948,40
Banana,Leaf,L,1,46225,15.68,243,386,591,382,27.8,0.24,1.08,115.32,2.1,7.85,2.17,55.91,732754,238.81,38.25,73.9,62.16,945,40
Banana,Leaf,M,4,49680,19.33,252,372,533,377,25.6,0.19,1.05,122.96,2.51,6.62,2.23,54.19,957940,358.13,41.26,75.03,65.54,786,37
Banana,Leaf,M,3,50086,19.03,249,369,532,373,26.3,0.19,1.06,123.87,2.41,6.83,2.42,55.17,881799,322.32,39.79,74.31,63.77,802,37
Banana,Leaf,M,2,46478,20.25,256,378,541,385,25,0.18,1.04,123.86,2.39,6.36,2.12,52.45,952611,399.46,42.61,75.31,66.34,773,37
Banana,Leaf,M,1,45794,19.22,252,373,536,380,25.9,0.19,1.06,124.82,2.3,6.73,2.31,54.89,839401,338.39,40.43,74.47,64.4,793,37
Banana,Leaf,H,4,40115,27.82,207,275,381,285,23.3,0.15,1.06,125.27,1.94,5.9,2.68,51.83,902109,604.87,49.2,80.6,73.38,646,34
Banana,Leaf,H,3,43875,27.32,208,276,386,287,23.3,0.15,1.05,125.59,2.01,6,2.77,51.95,983701,592.58,48.24,80.56,73.27,651,34
Banana,Leaf,H,2,44274,27.41,207,273,375,285,23.1,0.15,1.07,124.73,2.07,5.93,2.74,51.11,1022010,613.08,48.6,80.84,74,643,34
Banana,Leaf,H,1,37759,28.18,207,274,378,286,22.6,0.15,1.06,123.98,1.92,5.7,2.52,50.01,901577,650.54,49.93,81,74.39,634,34
Banana,Stem,L,4,50059,31.8,231,329,475,356,23.3,0.12,1.08,108.34,2.81,6.63,1.98,44.71,765592,469.87,37.92,72.41,63.32,717,37
Banana,Stem,L,3,50092,32.23,230,325,463,353,23.6,0.12,1.08,106.53,3.01,6.83,2.15,45.71,733554,456.03,35.72,71.16,62.74,731,38
Banana,Stem,L,2,49442,31.71,229,325,466,351,23,0.12,1.09,107.88,2.63,6.43,1.91,43.31,800858,496.85,39.3,73.07,64.8,709,37
Banana,Stem,L,1,50114,31.5,227,316,446,343,23.1,0.12,1.07,107.81,2.76,6.6,2.02,44.62,786911,478.34,39.58,73.29,64.87,718,37
Banana,Stem,M,4,34889,27.61,276,406,566,442,23.7,0.12,1.05,119.64,3.14,5.74,1.71,42.2,536920,407.05,30,65.72,56.31,613,34
Banana,Stem,M,3,35089,26.64,278,414,586,453,23.5,0.12,1.08,117.02,3.14,5.68,1.74,42.39,551389,400.55,29.66,66.12,56.26,604,34
Banana,Stem,M,2,35160,27.02,278,412,577,449,23.6,0.12,1.08,117.69,3.17,5.7,1.68,41.36,552056,405.8,29.36,65.79,56.41,603,34
Banana,Stem,M,1,35861,26.68,278,411,577,449,23.6,0.12,1.09,118.88,3.23,5.68,1.71,41.67,560642,399.65,29.24,65.8,56.23,599,34
Banana,Stem,H,4,36949,41.19,223,303,420,334,20.4,0.09,1.06,123.74,3.47,5.32,2.41,40.24,569306,613.35,32.16,70.94,63.1,603,34
Banana,Stem,H,3,33801,41.46,226,309,432,344,20.3,0.09,1.08,123.97,3.62,5.38,2.4,39.5,523571,621.39,32.58,70.67,62.67,599,34
Banana,Stem,H,2,33145,43.06,224,306,426,338,20.2,0.09,1.07,125.8,3.43,5.19,2.43,38.79,523438,657.98,33.04,71.26,63.44,597,34
Banana,Stem,H,1,31107,41.8,225,306,423,341,20,0.09,1.06,126.62,3.51,5.22,2.34,38.92,499527,650.77,33.32,71.41,63.68,592,34
Sugarcane,Bagasse,L,4,50007,23.91,253,362,513,378,25.3,0.15,1.06,108.04,3.83,7.45,1.57,42.42,360673,165.24,22.57,54.85,45.2,945,42
Sugarcane,Bagasse,L,3,50016,23.69,251,358,507,370,25.3,0.15,1.07,108.47,3.83,7.47,1.6,43.26,358766,162.7,22.67,55.46,45.36,933,42
Sugarcane,Bagasse,L,2,50115,23.95,251,358,508,371,25.3,0.15,1.06,107.86,3.64,7.41,1.59,42.36,367164,167.87,22.76,55.27,46.17,960,42
Sugarcane,Bagasse,L,1,50020,24.02,251,359,513,373,25.2,0.15,1.05,108.16,3.79,7.43,1.56,41.92,381075,174.51,22.63,56.6,46.63,926,41
Sugarcane,Bagasse,M,4,50104,26.26,255,365,513,375,23.8,0.14,1.06,128.93,4.19,6.21,1.76,43.38,519726,261.99,29.38,61.76,52.41,812,39
Sugarcane,Bagasse,M,3,50155,25.71,252,358,502,368,24.1,0.14,1.07,127.7,4.38,6.42,1.86,44.72,495232,243.83,28.5,61.04,51.81,825,39
Sugarcane,Bagasse,M,2,50033,25.21,253,360,502,369,24.2,0.14,1.07,126.91,4.33,6.39,1.87,45.01,490765,237.23,27.45,60.67,51.59,826,39
Sugarcane,Bagasse,M,1,50140,25.8,254,362,508,371,23.8,0.14,1.07,129.04,4.33,6.2,1.72,43.95,520073,256.95,29,61.34,52.55,806,39
Sugarcane,Bagasse,H,4,50111,31.02,222,295,399,302,22.1,0.13,1.07,131.77,4.61,5.91,2.12,46.61,941418,564.06,41.95,75.25,69.35,681,36
Sugarcane,Bagasse,H,3,50121,31.29,222,296,403,302,22,0.13,1.07,131.64,4.71,5.93,2.16,46,944813,570.3,42.3,75.43,69.28,678,36
Sugarcane,Bagasse,H,2,49577,31.33,223,295,396,302,21.9,0.13,1.06,130.53,4.73,5.88,2.08,45.7,959256,585.82,42.91,75.61,69.78,667,35
Sugarcane,Bagasse,H,1,46623,31.25,222,296,401,304,21.8,0.13,1.07,130.94,4.67,5.85,2.07,45.1,920866,598.13,42.9,75.87,70.06,663,35
Sugarcane,Mulch,L,4,50007,23.91,253,362,513,378,25.3,0.15,1.06,108.04,3.83,7.45,1.57,42.42,360673,165.24,22.57,54.85,45.2,945,42
Sugarcane,Mulch,L,3,50016,23.69,251,358,507,370,25.3,0.15,1.07,108.47,3.83,7.47,1.6,43.26,358766,162.7,22.67,55.46,45.36,933,42
Sugarcane,Mulch,L,2,50115,23.95,251,358,508,371,25.3,0.15,1.06,107.86,3.64,7.41,1.59,42.36,367164,167.87,22.76,55.27,46.17,960,42
Sugarcane,Mulch,L,1,50020,24.02,251,359,513,373,25.2,0.15,1.05,108.16,3.79,7.43,1.56,41.92,381075,174.51,22.63,56.6,46.63,926,41
